unit_id,name
A.17.2.3,勞動部勞動力發展署中彰投分署
3.97.34,高雄市政府原住民事務委員會
A.11.2.9,法務部行政執行署臺南分署
3.95.27,臺南市政府農業局
3.87.4.93,臺中市立惠文高級中學
3.5.49.1,空軍航空技術學院
3.97.5.32,高雄市立中正高級工業職業學校
3.76.58,新竹市政府
3.13.20.15,經濟部水利署第五河川局
A.21.100.43,衛生福利部旗山醫院
92019239,財團法人國家衛生研究院
80892714,高雄市電影館
3.1.1,內政部警政署
A.27,科技部
3.10.90.32,私立明新科技大學
3.76.54.60,臺東縣池上鄉公所
3.82.33.4,新北市立圖書館
3.80.25,桃園市政府水務局
A.51.1.4,臺北榮民總醫院玉里分院
3.11.94.49,法務部矯正署桃園少年輔育院
3.13.31.48,台灣電力股份有限公司大林發電廠
3.79.56,臺北市政府都市發展局
73502206,台南家專學校財團法人台南應用科技大學
A.9.5N.1,國立臺北科技大學附屬桃園農工高級中等學校
3.15.83.6,中華郵政股份有限公司三重郵局
3.1.100.2,內政部土地重劃工程處
3.76.47.77,彰化縣員林市公所
3.9.39.1,國立陽明大學附設醫院
3.76.48,南投縣政府
A.21.100.32,衛生福利部臺北醫院
A.21.100.34,衛生福利部苗栗醫院
19595157,天主教耕莘醫療財團法人耕莘醫院辦理衛生福利部北區老人之家頤苑自費安養中心
3.63.1,行政院海岸巡防署海岸巡防總局
3.15.86.6,高雄港區土地開發股份有限公司
3.9.27.2,國立中興大學農業暨自然資源學院實驗林管理處
3.35,國立故宮博物院
3.80.51,桃園市桃園區公所
3.76.53.79,屏東縣泰武鄉公所
3.76.44.97.98,新竹縣新豐鄉山崎國民小學
3.11.94.45,明陽中學
3.97.82,高雄市六龜區公所
77119224,建國科技大學
3.97.7.46,高雄市左營區明德國民小學
5.4.36,臺灣南投地方法院
3.79.59,臺北市政府文化局
3.1.2.8,墾丁國家公園管理處
3.97.59,高雄市前鎮區公所
3.76.50.3,嘉義縣衛生局
21548624,板橋車站辦公大樓管理小組
3.92.52,國立臺北護理健康大學
A.25.100.5,國家人權博物館籌備處
A.21.4,衛生福利部國民健康署
3.76.56.28,澎湖縣政府文化局
3.82.4.91,新北市立樹林高級中學
3.80.5.91,桃園市立大園國民中學
3.82.74,新北市萬里區公所
3.82.7.9,新北市三峽區三峽國民小學
3.97.12.2,高雄市政府社會局無障礙之家
3.76.47,彰化縣政府
3.95.5.67,臺南市立和順國民中學
3.97.24,高雄市政府勞工局
3.92.55,國立臺中科技大學
3.76.53.81,屏東縣春日鄉公所
3.82.7.38,新北市淡水區忠山國民小學
3.79.7.12,臺北市松山區民權國民小學
3.82.5.2,新北市立錦和高級中學
A.21.1,衛生福利部疾病管制署
3.95.36,臺南市政府都市發展局
3.13.20,經濟部水利署
3.79.74,臺北市政府體育局
3.76.42.27,宜蘭縣立殯葬管理所
3.13.20.5,經濟部水利署臺北水源特定區管理局
3.97,高雄市政府
3.13,經濟部
3.87.8.12,臺中市沙鹿區竹林國民小學
3.88,臺中市議會
A.25.7,國立臺灣美術館
3.11.95,法務部廉政署
3.76.53.61,屏東縣高樹鄉公所
3.95.7.36,臺南市北區文元國民小學
3.97.35,高雄市政府客家事務委員會
3.97.15.1,高雄市政府環境保護局中區資源回收廠
